participante_id,timestamp_inicio,timestamp_respuesta,timestamp_fin,edad,genero,estudios,audicion,castellano,audio_index,audio_filename,mensaje,ruido,nivel,molestia,ref_28,ref_32,ref_36,ref_40,ref_44,ref_48,ref_52,ref_56,ref_60,fuentes,afectiva_agradable,afectiva_caotico,afectiva_estimulante,afectiva_sinactividad,afectiva_calmado,afectiva_molesto,afectiva_conactividad,afectiva_monotono
1,2026-05-08T08:16:41.925Z,2026-05-08T08:17:10.075Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,7,,,,,,,,,,humano,2,2,2,2,2,2,2,2
2,2026-05-08T08:16:41.925Z,2026-05-08T08:17:23.592Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,7,,,,,,,,,,trafico,2,3,3,3,2,2,3,3
3,2026-05-08T08:16:41.925Z,2026-05-08T08:17:36.250Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,6,,,,,,,,,,trafico,2,2,2,3,3,3,3,3
4,2026-05-08T08:16:41.925Z,2026-05-08T08:17:47.243Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,5,,,,,,,,,,trafico,2,2,2,3,3,3,3,3
5,2026-05-08T08:16:41.925Z,2026-05-08T08:17:58.425Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,6,,,,,,,,,,humano,3,3,3,3,3,3,3,3
6,2026-05-08T08:16:41.925Z,2026-05-08T08:18:09.568Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,5,,,,,,,,,,trafico;natural,2,3,3,3,2,2,2,3
7,2026-05-08T08:16:41.925Z,2026-05-08T08:18:25.206Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,6,,,,,,,,,,trafico;natural,2,3,3,3,2,3,2,3
8,2026-05-08T08:16:41.925Z,2026-05-08T08:18:35.340Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,6,,,,,,,,,,trafico,2,2,2,3,3,2,3,3
9,2026-05-08T08:16:41.925Z,2026-05-08T08:18:45.853Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,5,,,,,,,,,,trafico;natural,2,3,4,4,3,3,3,3
10,2026-05-08T08:16:41.925Z,2026-05-08T08:18:55.305Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,7,,,,,,,,,,humano,2,2,2,3,2,3,2,3
11,2026-05-08T08:16:41.925Z,2026-05-08T08:19:04.278Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,5,,,,,,,,,,humano,2,3,4,3,3,3,3,3
12,2026-05-08T08:16:41.925Z,2026-05-08T08:19:12.836Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,6,,,,,,,,,,trafico,2,3,2,2,2,2,2,2
13,2026-05-08T08:16:41.925Z,2026-05-08T08:19:22.289Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,9,,,,,,,,,,trafico,3,3,3,3,3,3,3,3
14,2026-05-08T08:16:41.925Z,2026-05-08T08:19:33.758Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,6,,,,,,,,,,humano,2,3,2,3,2,3,2,3
15,2026-05-08T08:16:41.925Z,2026-05-08T08:19:42.625Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,6,,,,,,,,,,trafico,2,2,2,2,2,2,2,3
16,2026-05-08T08:16:41.925Z,2026-05-08T08:19:50.566Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,4,,,,,,,,,,humano,2,3,2,3,3,3,3,3
17,2026-05-08T08:16:41.925Z,2026-05-08T08:20:00.239Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,6,,,,,,,,,,natural,2,3,3,3,3,3,3,3
18,2026-05-08T08:16:41.925Z,2026-05-08T08:20:11.578Z,2026-05-08T08:20:11.578Z,18-25,Masculino,Bachillerato,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,6,,,,,,,,,,natural,3,3,3,3,3,3,3,3
