participante_id,timestamp_inicio,timestamp_respuesta,timestamp_fin,edad,genero,estudios,audicion,castellano,audio_index,audio_filename,mensaje,ruido,nivel,molestia,ref_52,ref_56,ref_60,ref_64,ref_68,fuentes,afectiva_agradable,afectiva_caotico,afectiva_estimulante,afectiva_sinactividad,afectiva_calmado,afectiva_molesto,afectiva_conactividad,afectiva_monotono
1,2026-06-10T11:37:49.028Z,2026-06-10T11:38:17.385Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,5,3,3,2,4,5,humano,1,1,1,1,1,1,1,1
1,2026-06-10T11:37:49.028Z,2026-06-10T11:38:29.407Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,4,3,3,2,4,5,humano,1,2,3,2,3,3,3,3
1,2026-06-10T11:37:49.028Z,2026-06-10T11:38:38.877Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,4,3,3,2,4,5,humano,1,1,3,2,4,4,4,4
1,2026-06-10T11:37:49.028Z,2026-06-10T11:38:46.153Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,3,3,3,2,4,5,humano,1,1,1,1,1,1,1,1
1,2026-06-10T11:37:49.028Z,2026-06-10T11:38:53.467Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,5,3,3,2,4,5,trafico,5,5,5,5,5,5,5,5
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:08.886Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,4,3,3,2,4,5,natural,3,2,3,2,3,2,3,2
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:19.143Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,4,3,3,2,4,5,trafico,2,2,2,2,2,2,1,2
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:30.888Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,4,3,3,2,4,5,trafico,4,3,4,3,4,3,4,3
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:41.078Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,3,3,3,2,4,5,trafico,4,5,4,5,4,5,4,5
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:50.785Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,3,3,3,2,4,5,natural,2,2,2,2,2,2,3,2
1,2026-06-10T11:37:49.028Z,2026-06-10T11:39:59.431Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,3,3,3,2,4,5,natural,3,2,3,2,3,4,3,2
1,2026-06-10T11:37:49.028Z,2026-06-10T11:40:08.838Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,3,3,3,2,4,5,trafico,2,3,2,3,2,3,2,1
1,2026-06-10T11:37:49.028Z,2026-06-10T11:40:19.891Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,2,3,3,2,4,5,natural,5,4,3,1,3,5,3,1
1,2026-06-10T11:37:49.028Z,2026-06-10T11:40:36.128Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,3,3,3,2,4,5,trafico,1,2,2,2,2,2,2,3
1,2026-06-10T11:37:49.028Z,2026-06-10T11:40:44.403Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,3,3,3,2,4,5,natural,4,3,4,3,4,3,4,3
1,2026-06-10T11:37:49.028Z,2026-06-10T11:40:53.275Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,6,3,3,2,4,5,trafico,2,2,2,2,2,3,2,1
1,2026-06-10T11:37:49.028Z,2026-06-10T11:41:01.694Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,3,3,3,2,4,5,trafico,3,2,3,2,3,2,3,2
1,2026-06-10T11:37:49.028Z,2026-06-10T11:41:12.837Z,2026-06-10T11:41:12.837Z,18-25,Masculino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,3,3,3,2,4,5,natural,3,3,3,3,3,3,2,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:53:30.121Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,1,0,0,0,0,0,trafico;humano,2,1,1,4,5,1,2,5
2,2026-06-10T16:51:08.243Z,2026-06-10T16:54:22.007Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,1,0,0,0,0,0,trafico;humano,2,1,1,4,5,1,2,4
2,2026-06-10T16:51:08.243Z,2026-06-10T16:55:06.640Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,2,0,0,0,0,0,trafico;humano,2,2,1,4,4,2,2,3
2,2026-06-10T16:51:08.243Z,2026-06-10T16:55:40.809Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,4,mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,7,0,0,0,0,0,humano,1,5,2,1,1,4,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:56:13.032Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,5,mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,3,0,0,0,0,0,humano,1,3,2,1,1,3,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:56:40.867Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,6,mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,10,0,0,0,0,0,humano,1,5,2,1,1,5,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:57:06.397Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,7,mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,0,0,0,0,0,0,humano;natural,4,1,4,1,5,1,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:57:42.464Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,8,mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,1,0,0,0,0,0,humano;natural,4,1,2,1,4,1,4,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:58:20.649Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,9,mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,2,0,0,0,0,0,humano;natural,3,4,4,1,1,3,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T16:59:03.247Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,10,mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,1,0,0,0,0,0,trafico;humano,1,1,1,2,1,2,1,4
2,2026-06-10T16:51:08.243Z,2026-06-10T16:59:41.545Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,11,mensaje2_road_low_hrtf.wav,mensaje2,road,low,0,0,0,0,0,0,trafico;humano,2,1,1,2,4,1,2,4
2,2026-06-10T16:51:08.243Z,2026-06-10T17:00:15.165Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,12,mensaje2_road_high_hrtf.wav,mensaje2,road,high,2,0,0,0,0,0,trafico;humano,1,1,1,2,2,2,4,3
2,2026-06-10T16:51:08.243Z,2026-06-10T17:00:44.685Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,13,mensaje2_voices_equal_hrtf.wav,mensaje2,voices,equal,4,0,0,0,0,0,humano,1,4,1,1,1,2,4,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:01:29.944Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,14,mensaje2_voices_low_hrtf.wav,mensaje2,voices,low,3,0,0,0,0,0,humano,1,3,1,1,1,2,4,2
2,2026-06-10T16:51:08.243Z,2026-06-10T17:01:52.211Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,15,mensaje2_voices_high_hrtf.wav,mensaje2,voices,high,8,0,0,0,0,0,humano,1,5,2,1,1,5,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:02:31.867Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,16,mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,0,0,0,0,0,0,humano;natural,3,3,2,1,3,2,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:03:04.540Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,17,mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,0,0,0,0,0,0,humano;natural,5,3,4,1,4,1,5,1
2,2026-06-10T16:51:08.243Z,2026-06-10T17:03:47.365Z,2026-06-10T17:03:47.365Z,25-35,Masculino,Estudios_Universitarios,No,Si,18,mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,0,0,0,0,0,0,humano;natural,5,3,3,1,3,1,5,1
3,2026-06-10T17:05:47.323Z,2026-06-10T17:10:40.843Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,1,mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,2,0,0,0,0,0,trafico;humano,2,3,1,3,3,4,4,5
3,2026-06-10T17:05:47.323Z,2026-06-10T17:11:56.235Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,2,mensaje1_road_low_hrtf.wav,mensaje1,road,low,1,0,0,0,0,0,trafico;humano,1,1,1,3,4,3,2,5
3,2026-06-10T17:05:47.323Z,2026-06-10T17:12:36.534Z,2026-06-10T17:23:50.398Z,25-35,Masculino,Estudios_Universitarios,No,Si,3,mensaje1_road_high_hrtf.wav,mensaje1,road,high,1,0,0,0,0,0,trafico;humano,1,1,1,3,2,3,2,5
